特征,|皮尔逊相关系数|,互信息得分,皮尔逊排名,互信息排名
Discharge_roll3_max,0.73732214437091,2.246975203844146,4,1
Discharge_roll3_mean,0.7779067610036444,2.0237308375582175,1,2
Discharge_lag1,0.7037859173346218,1.8855106907510373,8,3
Discharge_roll7_max,0.7104722043956653,1.436505629526521,7,4
Discharge_lag2,0.6389422252853872,1.3222632510901096,13,5
Discharge_roll7_mean,0.77467540347631,1.3136368934799831,2,6
Discharge_roll14_max,0.698169694768514,1.091713331265081,9,7
Discharge_lag3,0.5874791836718405,1.0588344958773264,15,8
Discharge_roll14_mean,0.7596359259287532,1.043432811138873,3,9
Discharge_roll30_max,0.6894277614918367,0.8889085396084355,11,10
Discharge_roll30_mean,0.731667926738857,0.8342519216562718,5,11
Discharge_roll14_std,0.6903474559214066,0.8315584691368465,10,12
Discharge_roll3_std,0.5881066142840534,0.8055635488374118,14,13
Discharge_roll7_std,0.6544625897391397,0.8020553997684936,12,14
Discharge_roll30_std,0.7137500120518209,0.7573115645332744,6,15
Prcp_roll30_max,0.4770466894040839,0.6859025341946627,27,16
Discharge_lag7,0.5294037914789292,0.6611349297180578,18,17
Prcp_roll14_max,0.4693629043709294,0.5824659382101807,29,18
month,0.16424133665643723,0.5657352375119626,61,19
doy_cos,0.022687540670933343,0.5369753630410683,81,20
Prcp_roll30_std,0.5345569097933306,0.5282905843044796,17,21
doy_sin,0.5199140053370687,0.527609121126952,21,22
Prcp_roll14_std,0.498581667041671,0.5061054869257,23,23
Tmean_roll7,0.1673313390687385,0.5020917783066232,58,24
Dayl,0.11174924456796033,0.49287709034984406,73,25
Discharge_lag14,0.47302663263914907,0.47482937085092436,28,26
melt_index,0.3071725479927283,0.462581173212802,40,27
Prcp_cum30,0.5264251605262299,0.44800391992725164,19,28
Prcp_roll30_mean,0.5264251605262299,0.44727055287829387,19,29
Prcp_roll7_max,0.44346604561014846,0.44290121836557184,31,30
Prcp_roll14_mean,0.5183580753050503,0.3727363850256862,22,31
Prcp_roll7_std,0.45414567912733417,0.3519530108059832,30,32
Tmin_lag30,0.33152714613178413,0.3290873614354277,39,33
month_sin,0.4813432187726636,0.32522224669062094,26,34
Vp_lag14,0.37111169233493757,0.318125361149149,36,35
Discharge_lag30,0.3619507071285946,0.31805839406459624,37,36
Tmin_lag1,0.09866279018989514,0.31596345459431285,77,37
Vp_lag30,0.43482399561212176,0.30975890466464717,32,38
Prcp_roll7_mean,0.4874042810996931,0.3097084030454691,24,39
Prcp_cum7,0.4874042810996931,0.30908514029472167,24,40
Tmin_lag14,0.26025922285119385,0.3086505852740107,46,41
Tmin_lag2,0.1134533111398808,0.30545612333096184,72,42
Tmin,0.09909934563473104,0.2972047638459818,76,43
Tmin_lag7,0.1836434176739835,0.29459623535751867,55,44
Vp,0.2115069322175001,0.28561792932814,50,45
Vp_lag1,0.21127569520094522,0.2801787703088219,52,46
Tmax_lag30,0.3420846688411186,0.27152332036540106,38,47
Vp_lag3,0.24858775558309856,0.2705546364156466,47,48
Vp_lag7,0.2961109266230997,0.2704231127681962,42,49
Tmin_lag3,0.13240307753305797,0.2699504873428298,69,50
Tmax_lag7,0.21146768785912584,0.26753633904071217,51,51
Tmax_lag2,0.16548609206150353,0.2636397163530071,60,52
Vp_lag2,0.2281686793662401,0.26208496104909695,49,53
Tmean,0.13318170761456652,0.2589567007945872,68,54
Tmax_lag14,0.27187257776269425,0.2564881875507927,44,55
Tmax_lag3,0.17804541585934755,0.24999002635881684,57,56
month_cos,0.16319133022770194,0.2350600893668231,62,57
Tmax,0.16017428752048776,0.23063016145191728,63,58
Tmax_lag1,0.1584159739280802,0.22176050565349703,64,59
Prcp_roll3_max,0.4022953121942243,0.21686885700552772,34,60
Srad_lag7,0.16589696300419407,0.19204821453617615,59,61
season_春,0.54601251298764,0.18595249079943987,16,62
Srad_lag2,0.12654212911854207,0.17977121106006422,70,63
Srad_lag3,0.1465330982035618,0.17438029768443997,67,64
Prcp_roll3_std,0.3762537365944695,0.16944209041908742,35,65
Srad,0.11851588706946192,0.16800024950337722,71,66
Prcp_roll3_mean,0.42909754222195673,0.16289118268656244,33,67
Srad_lag1,0.10434215587077716,0.15501499788977835,74,68
Srad_lag30,0.06991951162650205,0.13978510747582895,80,69
Srad_lag14,0.1579551302623973,0.1283604818267028,65,70
season_冬,0.08295809465815646,0.09995458668776913,79,71
season_秋,0.26504044731464443,0.06396662546436582,45,72
Trange,0.17972186652327454,0.051179488542997476,56,73
Prcp,0.28098094824869085,0.05009750291302151,43,74
season_夏,0.20188621154837877,0.03329088520094259,53,75
Prcp_lag1,0.30292437079597667,0.03292423220687235,41,76
Prcp_lag2,0.2390825004085854,0.03084071614417594,48,77
Prcp_lag3,0.1839714328855128,0.030173377093320575,54,78
Prcp_lag14,0.09935401070290076,0.011227707424037447,75,79
Prcp_lag7,0.14848245210783986,0.003943362965528774,66,80
Prcp_lag30,0.09180954632180532,0.0,78,81
