模型,策略,预见期,RMSE,MAE,NSE,R2,PBIAS(%),MAPE(%),NSE_log,RMSE_log,NSE等级
人工神经网络 (ANN/MLP),多步直接预测,1,661.07,272.79,0.3836,0.4011,-17.8,36.46,0.5604,0.5847,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多步直接预测,2,771.32,363.78,0.1674,0.2084,-8.66,57.49,0.3645,0.7058,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多步直接预测,3,934.34,470.57,-0.2198,0.1192,1.86,81.44,0.0268,0.875,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多步直接预测,4,944.14,517.3,-0.2446,0.1099,13.72,99.31,-0.0575,0.9133,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多步直接预测,5,894.96,487.76,-0.1179,0.0679,-1.53,93.65,-0.0968,0.9309,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多步直接预测,6,1160.59,628.76,-0.8796,0.0095,19.83,141.26,-0.5363,1.1027,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多步直接预测,7,861.62,494.73,-0.0358,0.068,-6.18,96.67,-0.1034,0.9353,不满意 (Unsatisfactory)
随机森林 (RF),多步直接预测,1,611.36,228.96,0.4728,0.4803,-10.0,27.16,0.7268,0.461,不满意 (Unsatisfactory)
随机森林 (RF),多步直接预测,2,713.63,317.07,0.2872,0.2964,-12.28,41.67,0.5032,0.6241,不满意 (Unsatisfactory)
随机森林 (RF),多步直接预测,3,752.5,367.31,0.2088,0.224,-13.04,52.21,0.3573,0.7111,不满意 (Unsatisfactory)
随机森林 (RF),多步直接预测,4,782.81,395.17,0.1444,0.1699,-14.47,58.36,0.2471,0.7706,不满意 (Unsatisfactory)
随机森林 (RF),多步直接预测,5,805.29,409.08,0.0949,0.1316,-16.43,61.83,0.1665,0.8115,不满意 (Unsatisfactory)
