模型,策略,预见期,RMSE,MAE,NSE,R2,PBIAS(%),MAPE(%),NSE_log,RMSE_log,NSE等级
人工神经网络 (ANN/MLP),多步直接预测,1-7(汇总),887.2,447.07,-0.1008,0.1049,-3.09,78.94,0.0513,0.8643,不满意 (Unsatisfactory)
随机森林 (RF),多步直接预测,1-7(汇总),761.15,368.34,0.1897,0.2068,-13.31,55.5,0.3048,0.7399,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多步直接预测,1-7(汇总),852.6,395.75,-0.0166,0.0854,-40.44,49.66,-0.1779,0.963,不满意 (Unsatisfactory)
简单平均集成,多步直接预测,1-7(汇总),785.32,374.61,0.1375,0.1662,-18.95,54.48,0.259,0.7638,不满意 (Unsatisfactory)
Stacking 集成,多步直接预测,1-7(汇总),759.11,354.68,0.1941,0.2168,-17.98,50.49,0.2981,0.7434,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多输出预测,1-7(汇总),1017.16,516.99,-0.4469,0.0892,15.46,100.83,-0.0301,0.9006,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,1-7(汇总),764.84,370.8,0.1819,0.1992,-14.07,55.18,0.3069,0.7387,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,1-7(汇总),855.59,405.06,-0.0238,0.0713,-35.08,50.46,-0.0761,0.9205,不满意 (Unsatisfactory)
简单平均集成,多输出预测,1-7(汇总),799.0,397.02,0.1072,0.1478,-11.23,62.61,0.2567,0.765,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,1-7(汇总),757.78,358.29,0.1969,0.2177,-17.81,51.95,0.3104,0.7369,不满意 (Unsatisfactory)
