模型,策略,预见期,最优超参数,训练样本数,寻优耗时(s)
人工神经网络 (ANN/MLP),多步直接预测,1,"alpha=1e-05, hidden_layer_sizes=(128,), lea...",1401,148.8
人工神经网络 (ANN/MLP),多步直接预测,2,"alpha=0.01, hidden_layer_sizes=(128,), lear...",1400,180.7
人工神经网络 (ANN/MLP),多步直接预测,3,"alpha=1e-05, hidden_layer_sizes=(128, 64), ...",1399,240.4
人工神经网络 (ANN/MLP),多步直接预测,4,"alpha=0.01, hidden_layer_sizes=(128,), lear...",1398,192.1
人工神经网络 (ANN/MLP),多步直接预测,5,"alpha=0.0001, hidden_layer_sizes=(128,), le...",1397,201.5
人工神经网络 (ANN/MLP),多步直接预测,6,"alpha=0.0001, hidden_layer_sizes=(128, 64),...",1396,202.6
人工神经网络 (ANN/MLP),多步直接预测,7,"alpha=0.01, hidden_layer_sizes=(128,), lear...",1395,220.3
人工神经网络 (ANN/MLP),多输出预测,1,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
人工神经网络 (ANN/MLP),多输出预测,2,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
人工神经网络 (ANN/MLP),多输出预测,3,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
人工神经网络 (ANN/MLP),多输出预测,4,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
人工神经网络 (ANN/MLP),多输出预测,5,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
人工神经网络 (ANN/MLP),多输出预测,6,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
人工神经网络 (ANN/MLP),多输出预测,7,"alpha=0.01, hidden_layer_sizes=(64,), learn...",1395,266.0
随机森林 (RF),多步直接预测,1,"max_depth=15, min_samples_leaf=5, n_estimat...",1401,200.8
随机森林 (RF),多步直接预测,2,"max_depth=12, min_samples_leaf=5, n_estimat...",1400,153.4
随机森林 (RF),多步直接预测,3,"max_depth=10, min_samples_leaf=5, n_estimat...",1399,156.7
随机森林 (RF),多步直接预测,4,"max_depth=None, min_samples_leaf=5, n_estim...",1398,153.7
随机森林 (RF),多步直接预测,5,"max_depth=15, min_samples_leaf=5, n_estimat...",1397,184.3
随机森林 (RF),多步直接预测,6,"max_depth=10, min_samples_leaf=5, n_estimat...",1396,156.9
随机森林 (RF),多步直接预测,7,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,164.0
随机森林 (RF),多输出预测,1,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
随机森林 (RF),多输出预测,2,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
随机森林 (RF),多输出预测,3,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
随机森林 (RF),多输出预测,4,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
随机森林 (RF),多输出预测,5,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
随机森林 (RF),多输出预测,6,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
随机森林 (RF),多输出预测,7,"max_depth=10, min_samples_leaf=5, n_estimat...",1395,151.1
