模型,策略,预见期,params,std_test_score,rank_test_score,mean_test_RMSE
ANN,多步直接预测,1,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.034470854753106746,1,0.43407967190884844
ANN,多步直接预测,1,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.02571736752489774,2,0.4374462621111723
ANN,多步直接预测,1,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.03942877033071117,3,0.43896785510683944
ANN,多步直接预测,1,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.043203981411287375,4,0.4465244294269543
ANN,多步直接预测,1,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.06701705437085193,5,0.4475265306642689
ANN,多步直接预测,1,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.06594759102993762,6,0.44782706306341263
ANN,多步直接预测,1,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.024357944100771675,7,0.4482324030237603
ANN,多步直接预测,1,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.0690866787907031,8,0.45106278123380544
ANN,多步直接预测,1,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.07403264384596923,9,0.45130009349300176
ANN,多步直接预测,1,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.07402775796425638,10,0.45270230093357017
ANN,多步直接预测,1,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.07357586279786628,11,0.45345578186047275
ANN,多步直接预测,1,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.04939713834874339,12,0.4590401483172502
ANN,多步直接预测,1,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.06073103174799507,13,0.45932536229868787
