策略,预见期,Ridge系数,截距
多步直接预测,1,"[0.3544, 0.8299, -0.1392]",-0.041
多步直接预测,2,"[0.1413, 0.9623, -0.0631]",-0.0849
多步直接预测,3,"[0.0466, 1.0607, -0.0392]",-0.0951
多步直接预测,4,"[0.1292, 0.9811, -0.0426]",-0.0929
多步直接预测,5,"[0.1613, 0.9522, -0.0671]",-0.1056
多步直接预测,6,"[0.1405, 0.7034, 0.2344]",-0.0949
多步直接预测,7,"[0.116, 0.8028, 0.1046]",-0.1029
多输出预测,1,"[0.4656, 0.8257, -0.2894]",-0.0889
多输出预测,2,"[0.3087, 0.9495, -0.2294]",-0.0706
多输出预测,3,"[0.2118, 1.0868, -0.2864]",-0.0781
多输出预测,4,"[0.1695, 1.1834, -0.3553]",-0.0834
多输出预测,5,"[0.1685, 1.0243, -0.1757]",-0.1006
多输出预测,6,"[0.181, 1.1074, -0.3005]",-0.1126
多输出预测,7,"[0.1734, 1.0782, -0.2578]",-0.1047
